,frame_no,x,y,w,h
0,2000,1816,1095,180,180
1,2000,1769,1705,180,180
2,2000,1415,1079,180,180
3,2000,1949,1504,180,180
4,2000,1562,1295,180,180
5,2000,3035,1349,180,180
6,2000,2668,1803,180,180
7,2000,1689,978,180,180
8,2000,1830,1669,180,180
9,2001,1836,1085,180,180
10,2001,1687,981,180,180
11,2001,1567,1172,180,180
12,2001,1756,1694,180,180
13,2001,1436,1158,180,180
14,2001,3034,1349,180,180
15,2001,1830,1670,180,180
16,2001,2668,1804,180,180
17,2001,1555,1290,180,180
18,2001,1949,1504,180,180
19,2002,1830,1669,180,180
20,2002,1949,1504,180,180
21,2002,1864,1082,180,180
22,2002,1744,1691,180,180
23,2002,3034,1350,180,180
24,2002,2667,1804,180,180
25,2002,1555,1289,180,180
26,2002,1677,984,180,180
27,2003,1898,1070,180,180
28,2003,1437,1173,180,180
29,2003,1502,1172,180,180
30,2003,1949,1504,180,180
31,2003,1548,1283,180,180
32,2003,1830,1669,180,180
33,2003,3034,1349,180,180
34,2003,2667,1804,180,180
35,2003,1676,984,180,180
36,2003,1736,1684,180,180
37,2004,1736,1684,180,180
38,2004,1436,1172,180,180
39,2004,1949,1504,180,180
40,2004,1830,1669,180,180
41,2004,3034,1349,180,180
42,2004,1930,1050,180,180
43,2004,2667,1804,180,180
44,2004,1543,1289,180,180
45,2004,1676,984,180,180
46,2005,1949,1504,180,180
47,2005,1830,1669,180,180
48,2005,1736,1684,180,180
49,2005,3035,1349,180,180
50,2005,1536,1301,180,180
51,2005,2668,1804,180,180
52,2005,1675,984,180,180
53,2006,1736,1684,180,180
54,2006,1516,1161,180,180
55,2006,1997,1011,180,180
56,2006,1430,1190,180,180
57,2006,1949,1504,180,180
58,2006,1830,1669,180,180
59,2006,3035,1349,180,180
60,2006,2668,1804,180,180
61,2006,1675,985,180,180
62,2006,1523,1322,180,180
63,2007,2023,997,180,180
64,2007,1675,984,180,180
65,2007,2668,1804,180,180
66,2007,3035,1350,180,180
67,2007,1516,1157,180,180
68,2007,1830,1669,180,180
69,2007,1736,1684,180,180
70,2007,1429,1205,180,180
71,2007,1501,1343,180,180
72,2007,1949,1504,180,180
73,2008,1422,1209,180,180
74,2008,1830,1669,180,180
75,2008,2048,996,180,180
76,2008,1736,1684,180,180
77,2008,3034,1350,180,180
78,2008,1470,1356,180,180
79,2008,2668,1804,180,180
80,2008,1675,985,180,180
81,2008,1890,1494,180,180
82,2009,1816,1472,180,180
83,2009,2050,995,180,180
84,2009,1416,1204,180,180
85,2009,1830,1669,180,180
86,2009,1663,998,180,180
87,2009,3034,1350,180,180
88,2009,1516,1170,180,180
89,2009,1468,1357,180,180
90,2009,1736,1684,180,180
91,2009,2668,1804,180,180
92,2010,1750,1662,180,180
93,2010,1831,1669,180,180
94,2010,2050,996,180,180
95,2010,1527,1184,180,180
96,2010,3034,1350,180,180
97,2010,1468,1357,180,180
98,2010,2668,1804,180,180
99,2010,1655,1011,180,180
100,2010,1770,1463,180,180
101,2011,1477,1344,180,180
102,2011,1742,1635,180,180
103,2011,1728,1455,180,180
104,2011,2054,995,180,180
105,2011,1830,1670,180,180
106,2011,1648,1031,180,180
107,2011,3034,1350,180,180
108,2011,2668,1804,180,180
109,2011,1418,1190,180,180
110,2012,2668,1804,180,180
111,2012,3034,1350,180,180
112,2012,1743,1622,180,180
113,2012,1641,1042,180,180
114,2012,1490,1330,180,180
115,2012,2054,995,180,180
116,2012,1715,1454,180,180
117,2012,1829,1669,180,180
118,2013,1430,1115,180,180
119,2013,1636,1049,180,180
120,2013,1715,1453,180,180
121,2013,2055,991,180,180
122,2013,1830,1670,180,180
123,2013,1478,1311,180,180
124,2013,1542,1204,180,180
125,2013,3034,1350,180,180
126,2013,2668,1804,180,180
127,2013,1737,1602,180,180
128,2013,1715,1447,180,180
129,2014,3034,1350,180,180
130,2014,1635,1058,180,180
131,2014,1476,1317,180,180
132,2014,1830,1670,180,180
133,2014,2668,1804,180,180
134,2014,2055,991,180,180
135,2014,1736,1601,180,180
136,2014,1715,1450,180,180
137,2015,1548,1215,180,180
138,2015,2668,1804,180,180
139,2015,3034,1350,180,180
140,2015,1830,1670,180,180
141,2015,1462,1314,180,180
142,2015,1715,1450,180,180
143,2015,2055,991,180,180
144,2015,1725,1596,180,180
145,2016,2054,991,180,180
146,2016,1830,1670,180,180
147,2016,3034,1349,180,180
148,2016,1543,1227,180,180
149,2016,1710,1596,180,180
150,2016,2668,1804,180,180
151,2016,1449,1302,180,180
152,2016,1721,1439,180,180
153,2017,2055,991,180,180
154,2017,1683,1588,180,180
155,2017,1443,1275,180,180
156,2017,3035,1349,180,180
157,2017,2668,1804,180,180
158,2017,1830,1670,180,180
159,2017,1713,1431,180,180
160,2017,1543,1225,180,180
161,2018,1710,1425,180,180
162,2018,1482,996,180,180
163,2018,1657,1578,180,180
164,2018,1830,1670,180,180
165,2018,1441,1243,180,180
166,2018,3035,1349,180,180
167,2018,1629,1109,180,180
168,2018,2668,1804,180,180
169,2018,1536,1224,180,180
170,2018,2055,991,180,180
171,2019,1711,1424,180,180
172,2019,1484,963,180,180
173,2019,1536,1219,180,180
174,2019,1830,1670,180,180
175,2019,1422,1195,180,180
176,2019,3035,1349,180,180
177,2019,1627,1116,180,180
178,2019,2668,1804,180,180
179,2019,1656,1576,180,180
180,2019,2055,991,180,180
181,2020,2055,985,180,180
182,2020,1490,938,180,180
183,2020,1627,1123,180,180
184,2020,1830,1670,180,180
185,2020,3035,1349,180,180
186,2020,2668,1804,180,180
187,2020,1403,1143,180,180
188,2020,1656,1576,180,180
189,2020,1707,1421,180,180
190,2021,1690,1394,180,180
191,2021,2049,974,180,180
192,2021,1491,897,180,180
193,2021,1396,1109,180,180
194,2021,1830,1670,180,180
195,2021,3035,1349,180,180
196,2021,2668,1804,180,180
197,2021,1628,1130,180,180
198,2021,1657,1571,180,180
199,2022,1578,1269,180,180
200,2022,1683,1370,180,180
201,2022,1483,857,180,180
202,2022,1830,1670,180,180
203,2022,3035,1349,180,180
204,2022,1656,1569,180,180
205,2022,2668,1804,180,180
206,2022,1397,1089,180,180
207,2022,1629,1130,180,180
208,2023,1694,1369,180,180
209,2023,1482,822,180,180
210,2023,1831,1670,180,180
211,2023,1656,1564,180,180
212,2023,3035,1349,180,180
213,2023,2043,970,180,180
214,2023,2668,1804,180,180
215,2023,1416,1069,180,180
216,2023,1630,1130,180,180
217,2024,1418,1027,180,180
218,2024,2048,965,180,180
219,2024,1831,1670,180,180
220,2024,1547,1279,180,180
221,2024,1655,1563,180,180
222,2024,1488,774,180,180
223,2024,3035,1349,180,180
224,2024,1636,1131,180,180
225,2024,2668,1804,180,180
226,2024,1708,1355,180,180
227,2025,1715,1341,180,180
228,2025,2048,964,180,180
229,2025,1490,724,180,180
230,2025,1830,1670,180,180
231,2025,3035,1349,180,180
232,2025,1655,1563,180,180
233,2025,1642,1136,180,180
234,2025,2668,1804,180,180
235,2025,1523,1297,180,180
236,2025,1403,974,180,180
237,2026,1717,1330,180,180
238,2026,1650,1145,180,180
239,2026,2048,965,180,180
240,2026,1508,1296,180,180
241,2026,3035,1349,180,180
242,2026,1655,1563,180,180
243,2026,2668,1804,180,180
244,2026,1397,937,180,180
245,2026,1490,697,180,180
246,2026,1830,1670,180,180
247,2027,1496,1283,180,180
248,2027,2048,964,180,180
249,2027,1717,1322,180,180
250,2027,1657,1155,180,180
251,2027,1830,1670,180,180
252,2027,3035,1349,180,180
253,2027,1655,1563,180,180
254,2027,1490,695,180,180
255,2027,2668,1804,180,180
256,2027,1397,910,180,180
257,2028,1477,1292,180,180
258,2028,2668,1804,180,180
259,2028,1655,1563,180,180
260,2028,1490,695,180,180
261,2028,3035,1349,180,180
262,2028,1716,1309,180,180
263,2028,1416,881,180,180
264,2028,1830,1670,180,180
265,2028,1661,1155,180,180
266,2028,2048,962,180,180
267,2029,1731,1308,180,180
268,2029,1464,1291,180,180
269,2029,1663,1152,180,180
270,2029,1830,1670,180,180
271,2029,1495,689,180,180
272,2029,3035,1349,180,180
273,2029,1422,848,180,180
274,2029,1655,1563,180,180
275,2029,2668,1804,180,180
276,2029,2054,948,180,180
277,2030,1501,681,180,180
278,2030,1757,1296,180,180
279,2030,1830,1670,180,180
280,2030,1668,1150,180,180
281,2030,3035,1349,180,180
282,2030,1464,1290,180,180
283,2030,1655,1563,180,180
284,2030,2668,1804,180,180
285,2030,1417,835,180,180
286,2031,2048,909,180,180
